SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
210045,209063,212033,2012,A,S,2013,1.5,0.26,52.616672
210039,208014,212095,2012,A,L,2015,3.5,0.464,52.616672
209058,211015,213117,2013,B,S,2015,2.5,0.542,52.616672
209058,211006,213158,2013,B,L,2016,3.5,0.502,52.616672
210089,209050,214143,2014,C,L,2016,2.5,0.514,52.616672
212040,212064,216005,2016,D,L,2018,2.5,0.4937,52.616672
210097,210034,212042,2012,A,S,2013,1.5,0.296,52.16308
209029,210010,212069,2012,A,S,2014,2.5,0.54,52.16308
210045,210068,212080,2012,A,L,2013,1.5,0.332,52.16308
209020,211044,213138,2013,B,S,2014,1.5,0.294,52.16308
209045,211007,213143,2013,B,S,2014,1.5,0.108,52.16308
210069,211094,214085,2014,C,S,2015,1.5,0.402,52.16308
210097,207005,212040,2012,A,L,2013,1.5,0.294,51.709488
209029,210076,212065,2012,A,L,2016,4.5,0.716,51.709488
209045,208023,213070,2013,B,S,2014,1.5,0.236,51.709488
209025,211120,213087,2013,B,L,2015,2.5,0.364,51.709488
209025,211078,213121,2013,B,S,2014,1.5,0.228,51.709488
210060,211102,214075,2014,C,L,2016,2.5,0.484,51.709488
209020,210074,212073,2012,A,L,2013,1.5,0.098,51.255896
209007,211201,213056,2013,B,L,2015,2.5,0.528,51.255896
209058,210094,213062,2013,B,L,2016,3.5,0.708,51.255896
209007,211083,213136,2013,B,S,2014,1.5,0.252,51.255896
210089,209056,214144,2014,C,S,2015,1.5,0.226,51.255896
209025,208035,213089,2013,B,L,2014,1.5,0.08,50.802304
209007,211014,213115,2013,B,S,2014,1.5,0.144,50.802304
210069,211002,214067,2014,C,S,2016,2.5,0.17,50.802304
210039,208008,212031,2012,A,L,2014,2.5,0.684,50.348712
209025,210010,213009,2013,B,S,2014,1.5,0.346,50.348712
209009,208018,213029,2013,B,L,2013,1.5,0.278,50.348712
209045,211017,213092,2013,B,L,2016,3.5,0.328,50.348712
209058,211015,213111,2013,B,L,2015,2.5,0.332,50.348712
209058,211015,213111,2013,B,L,2016,3.5,0.3,50.348712
209007,210108,213124,2013,B,S,2014,1.5,0.246,50.348712
209025,211008,213155,2013,B,S,2014,1.5,0.17,50.348712
209045,211039,213156,2013,B,L,2016,3.5,0.346,50.348712
210045,211120,214087,2014,C,L,2015,1.5,0.156,50.348712
210045,210066,214112,2014,C,L,2016,2.5,0.518,50.348712
212016,213136,216078,2016,D,S,2017,1.5,0.4027,50.348712
212012,212063,216039,2016,D,S,2017,1.5,0.1682,50.121916
210039,209018,212012,2012,A,S,2013,1.5,0.464,49.89512
209029,210036,212083,2012,A,L,2016,4.5,0.418,49.89512
209029,210094,212108,2012,A,S,2013,1.5,0.224,49.89512
